time			channel0	channel1	channel2	torque	speed	power
2023-10-10 14:46:17:375	-0.66659	4.41754	7.7486e-05	??-???	????????	??????
2023-10-10 14:46:17:375	1.22944	2.22953	0.000120401	5.21	0	26.2
2023-10-10 14:46:17:375	2.6992	0.186584	3.33786e-05	??-???	????????	??????
2023-10-10 14:46:17:375	3.30264	0.0690675	5.72205e-05	5.21	0	26.2
2023-10-10 14:46:17:375	2.8575	0.0157797	0.00010848	??-???	????????	??????
2023-10-10 14:46:17:375	1.49783	-0.0368071	7.7486e-05	5.21	0	26.2
2023-10-10 14:46:17:375	-0.366579	-0.150464	9.77516e-05	??-???	????????	??????
2023-10-10 14:46:17:375	-2.18263	4.98964	8.70228e-05	5.21	0	26.2
2023-10-10 14:46:17:375	-3.41197	4.81836	0.00015974	??-???	????????	??????
2023-10-10 14:46:17:375	-3.69271	4.78404	0.000104904	5.21	0	26.2
2023-10-10 14:46:17:375	-2.9405	4.78156	9.17912e-05	??-???	????????	??????
2023-10-10 14:46:17:375	-1.3789	4.80884	0.000110865	5.21	0	26.2
2023-10-10 14:46:17:375	0.533171	4.93917	3.93391e-05	??-???	????????	??????
2023-10-10 14:46:17:375	2.226	-0.284793	2.14577e-05	5.21	0	26.2
2023-10-10 14:46:17:375	3.19598	-0.104494	7.15256e-05	??-???	????????	??????
2023-10-10 14:46:17:375	3.14787	-0.0673199	7.98702e-05	5.21	0	26.2
2023-10-10 14:46:17:375	2.09873	-0.0610256	9.29833e-05	??-???	????????	??????
2023-10-10 14:46:18:376	0.364006	-0.115137	0.00010848	5.21	0	26.2
2023-10-10 14:46:18:376	-1.53873	4.4791	0.000128746	??-???	????????	??????
2023-10-10 14:46:18:376	-3.04462	4.67574	0.000113249	5.21	0	26.2
2023-10-10 14:46:18:376	-3.71029	4.68819	0.00014782	??-???	????????	??????
2023-10-10 14:46:18:376	-3.33798	4.69635	8.46386e-05	5.21	0	26.2
2023-10-10 14:46:18:376	-2.03899	4.70905	9.89437e-05	??-???	????????	??????
2023-10-10 14:46:18:376	-0.195485	4.76303	4.17233e-05	5.21	0	26.2
2023-10-10 14:46:18:376	1.64656	0.304889	5.126e-05	??-???	????????	??????
2023-10-10 14:46:18:376	2.9387	0.0521445	5.96047e-06	5.21	0	26.2
2023-10-10 14:46:18:376	3.29113	0.0537598	0.000106096	??-???	????????	??????
2023-10-10 14:46:18:376	2.59816	0.0802422	7.7486e-05	5.21	0	26.2
2023-10-10 14:46:18:376	1.0707	0.163947	0.000107288	??-???	????????	??????
2023-10-10 14:46:18:376	-0.836575	1.32373	0.000146627	5.21	0	26.2
2023-10-10 14:46:18:376	-2.55549	4.49453	9.89437e-05	??-???	????????	??????
2023-10-10 14:46:18:376	-3.57662	4.56392	0.000103712	5.21	0	26.2
2023-10-10 14:46:18:376	-3.60042	4.57582	6.07967e-05	??-???	????????	??????
2023-10-10 14:46:18:376	-2.62024	4.55893	5.24521e-05	5.21	0	26.2
2023-10-10 14:46:18:376	-0.923247	4.48259	7.86781e-05	??-???	????????	??????
2023-10-10 14:46:18:376	0.987598	3.43544	5.72205e-05	5.21	0	26.2
2023-10-10 14:46:18:376	2.54436	0.101529	9.89437e-05	??-???	????????	??????
2023-10-10 14:46:18:376	3.28156	0.0170457	0.000109673	5.21	0	26.2
2023-10-10 14:46:18:376	2.97724	-0.0350046	0.00012517	??-???	????????	??????
2023-10-10 14:46:18:376	1.72213	-0.108156	0.00010252	5.21	0	26.2
2023-10-10 14:46:18:376	-0.105777	-0.379418	0.000101328	??-???	????????	??????
2023-10-10 14:46:18:376	-1.9623	5.14898	8.34465e-05	5.21	0	26.2
2023-10-10 14:46:18:376	-3.2969	4.88523	8.82149e-05	??-???	????????	??????
2023-10-10 14:46:18:376	-3.71628	4.83647	4.76837e-05	5.21	0	26.2
2023-10-10 14:46:18:376	-3.09597	4.83649	6.79493e-05	??-???	????????	??????
2023-10-10 14:46:18:376	-1.61976	4.88504	8.22544e-05	5.21	0	26.2
2023-10-10 14:46:18:376	0.277014	5.14662	7.39098e-05	??-???	????????	??????
2023-10-10 14:46:18:376	2.03198	-0.381007	0.000107288	5.21	0	26.2
